item,classification
"ज्वार की रोटी, लौकी की सब्ज़ी, सफ़ेद चना",heavy
"ज्वार की रोटी, लौकी की सब्ज़ी, काले चने",heavy
"ज्वार की रोटी, लौकी की सब्ज़ी, मसूर दाल, कद्दू लौकी का रायता",light
"ज्वार की रोटी, लौकी की सब्ज़ी, मसूर दाल, भिंडी लौकी का रायता",light
"पुराना गेहूं की रोटी, लौकी और चना दाल",light
"पुराना गेहूं की रोटी, दूधी भाजी, मसूर दाल",light
"पुराना गेहूं की रोटी, दूधी भाजी, मूँग दाल धुली",light
"पुराना गेहूं की रोटी, तोरई, अरहर दाल",light
"पुराना गेहूं की रोटी, सहजन की फली, मूँग दाल साबुत",light
"पुराना गेहूं की रोटी, चौलाई, मसूर दाल",light
"पुराना गेहूं की रोटी, कुंदरु, मूँग दाल धुली",light
"पुराना गेहूं की रोटी, करेला, अरहर दाल",light
"पुराना गेहूं की रोटी, पेठा की खट्टी मीठी सब्ज़ी, मूँग दाल धुली",light
"पुराना गेहूं की रोटी, टमाटर की सब्ज़ी, मसूर दाल",light
"पुराना गेहूं की रोटी, टमाटर की सब्ज़ी, साम्भर",light
"पुराना गेहूं की रोटी, लौकी के कोफ्ते (बिना तले), मूँग दाल धुली",light
"पुराना गेहूं की रोटी, लौकी की सब्ज़ी, सफ़ेद चना",heavy
"पुराना गेहूं की रोटी, लौकी की सब्ज़ी, काले चने",heavy
"पुराना गेहूं की रोटी, दूधी भाजी, मसूर दाल, कद्दू लौकी का रायता",light
"जौ की रोटी, लौकी की सब्ज़ी, मूँग दाल धुली",light
"जौ की रोटी, लौकी की सब्ज़ी, अरहर दाल",light
"जौ की रोटी, तोरई, मूँग दाल धुली",light
"जौ की रोटी, सहजन की फली, मसूर दाल",light
"जौ की रोटी, चौलाई, मूँग दाल धुली",light
"जौ की रोटी, कुंदरु, मसूर दाल",light
"जौ की रोटी, करेला, मूँग दाल साबुत",light
"जौ की रोटी, टमाटर की सब्ज़ी, अरहर दाल",light
"जौ की रोटी, टमाटर की सब्ज़ी, साम्भर",light
"जौ की रोटी, पेठा की खट्टी मीठी सब्ज़ी, मसूर दाल",light
"जौ की रोटी, लौकी की सब्ज़ी, मूँग दाल धुली, कद्दू लौकी का रायता",light
"झंगोरा आटा की रोटी, दूधी भाजी, मूँग दाल धुली",light
"झंगोरा आटा की रोटी, लौकी की सब्ज़ी, मसूर दाल",light
"झंगोरा आटा की रोटी, तोरई, अरहर दाल",light
"झंगोरा आटा की रोटी, सहजन की फली, मूँग दाल साबुत",light
"झंगोरा आटा की रोटी, चौलाई, मसूर दाल",light
"झंगोरा आटा की रोटी, कुंदरु, मूँग दाल धुली",light
"झंगोरा आटा की रोटी, करेला, अरहर दाल",light
"झंगोरा आटा की रोटी, टमाटर की सब्ज़ी, साम्भर",light
"शालि चावल, मसूर दाल, लौकी की सब्ज़ी",light
"शालि चावल, अरहर दाल, टमाटर की सब्ज़ी",light
"शालि चावल, मूँग दाल धुली, तोरई",light
"शालि चावल, साम्भर, लौकी की सब्ज़ी",light
"शालि चावल, साम्भर, चौलाई",light
"शालि चावल, सफ़ेद चना, दूधी भाजी",heavy
"शालि चावल, काले चने, लौकी की सब्ज़ी",heavy
"शालि चावल, मसूर दाल, लौकी की सब्ज़ी, कद्दू लौकी का रायता",light
"सामक चावल, मूँग दाल धुली, सहजन की फली",light
"सामक चावल, मसूर दाल, लौकी के कोफ्ते (बिना तले)",light
"सामक चावल, अरहर दाल, कुंदरु",light
"सामक चावल, साम्भर, टमाटर की सब्ज़ी",light
"कंगनी, मसूर दाल, चौलाई",light
"कंगनी, मूँग दाल धुली, तोरई",light
"कंगनी, अरहर दाल, लौकी की सब्ज़ी",light
"कंगनी, साम्भर, लौकी की सब्ज़ी",light
"रागी, मसूर दाल, सहजन की फली",light
"रागी, मूँग दाल धुली, कुंदरु",light
"रागी, अरहर दाल, टमाटर की सब्ज़ी",light
"रागी, साम्भर, चौलाई",light
मूंग दाल वाली पतली खिचड़ी,light
दही चावल ज्यादा करी पत्ता व सौंफ के साथ,light
सत्तू का लिट्टी और मूंग दाल,heavy
"मंगौड़े उबले हुए, धनिया पुदीना चटनी",light
पोहा और भुना हुआ मूँग तथा भुने हुए काला चना + नींबू + धनिया,heavy
बेसन का चिल्ला,light
Salty Dalia (नमकीन दलिया),light
Sweet Dalia (मीठा दलिया),heavy
नमक अजवाइन रोटी,light
"उपमा, नारियल की चटनी, मूंगफली की चटनी, सांभर",light
सूजी का हलवा और नामक आजवाइन वाली रोटी,heavy
"भिंडी की सब्ज़ी, गेहूँ की रोटी",light
उबले मंगोड़े की रस्सेदार सब्ज़ी और गेहूं रोटी,light
अरहर की दाल और गेहूं रोटी,light
"मूँग दाल की बड़ियाँ, जौ की रोटी",heavy
"परवल, गेहूँ की रोटी",light
"करेला, गेहूँ की रोटी",light
"मूँग की दाल, गेहूं रोटी",light
"मेथी दाने की सब्ज़ी, गेहूँ की रोटी",light
रागी मुद्दे (https://www.youtube.com/watch?v=epIQqNQvP2I) और साथ में धुली मूंग की दाल,light
तोरई और गेहूँ की रोटी,light
करोंदा और गेहूँ की रोटी,light
उबले मंगोड़े की रस्सेदार सब्ज़ी और गेहूं की रोटी,light
लेमन राइस,light
बीसी बेले भात (https://www.youtube.com/watch?v=v2A7o8xz85Q),heavy
परिप्पू करी (https://www.youtube.com/watch?v=jezvvnkrIFk),light
इमली चावल (https://www.youtube.com/watch?v=Ls1WdcBJ6Jg),light
मोरू कली (मोर कूझ) (https://www.youtube.com/watch?v=xWue2xhKIuY),heavy
मूँग दाल खिचड़ी,light
"मूँग की दाल, चावल",light
"लौकी चने की दाल, परमल चावल",light
उबले मंगोड़े की रस्सेदार सब्ज़ी और साथ में चावल,light
मूंग दाल खिलवां (अवधी दाल) और चावल,light
पायथम पेझुक्कु (मूंग दाल) और चावल,light
रोटी और आम अदा दिया भाजा मूँग दाल (Aam Ada Diya Bhaaja Moong Dal),light
रोटी और दाल की कलेजी (Dal ki Kaleji),light
चावल और मजीदा कढ़ी (Majjida Karhi),light
चावल (परमल) की इडली। साथ में नारियल की चटनी।,light
दाल की रोटी। पुदीने की चटनी अलग से दें।,light
मूँग की दाल का चीला। पुदीने की चटनी।,light
जौ के सत्तू की रोटी। पुदीने की चटनी।,light
पोहा - जलेबी। जलेबी बाज़ार से आएगी।,heavy
"उपमा। पुदीने की चटनी, नारियल की चटनी।",light
"उत्तपम और पुदीने की चटनी, नारियल की चटनी।",light
"आलू प्याज़ की रोटी। पुदीने की चटनी, नारियल की चटनी।",heavy
"बेसन की चीला। पुदीने की चटनी, नारियल की चटनी।",light
"डोसा (बीच में आलू की सब्जी रख के। पुदीने की चटनी, नारियल की चटनी)।",light
"खीर और नमक आजवाइन की रोटी। खीर में इलायची, बादाम, सौगी आदि नहीं डालना है।",heavy
मेथी की रोटी (अगर अच्छी मेथी मिल जाए),light
कढ़ी चावल,light
"मूँग की दाल, और साठी चावल",light
"परवल की सब्ज़ी, जवार की रोटी",light
छाछ की सब्ज़ी और साठी चावल,light
"मोठ की दाल, साठी चावल",light
"लौकी सब्ज़ी, जवार की रोटी",light
"मसूर दाल, साठी चावल",light
"करेला, जौं की रोटी, और मक्खन",light
"पेठा-कद्दू की सब्ज़ी (कद्दू नहीं, पेठा कद्दू), जवार की रोटी",light
"भिंडी, जौं की रोटी",light
"अरहर दाल, गेहूं की रोटी",light
"लौकी चने की दाल, जौं की रोटी",light
"ज़ीरा वाले चावल, पुदीना, लौकी वाला रायता, और कुरकुरी भिंडी",light
"तोरी, गेंहू की रोटी",light
आलू-परवल की सब्ज़ी और जवार की रोटी,light
"कद्दू(पेठा) और जवार की रोटी और पुदीना, लौकी वाला रायता",light
कच्चे केले की सब्ज़ी और गेंहू की रोटी,light
पालक का साग (पनीर नहीं डालना) और गेंहू की रोटी,light
"अरहर की दाल, और साठी चावल",light
मूंग चना दाल मिक्स और पालक मिला के दाल और जौं की रोटी,light
छिलके वाली मूंग की दाल और गेंहू की रोटी,light
पालक और भुट्टे की सब्ज़ी और साथ में जीरा चावल,light
"मूँग की दाल, परमल चावल, पुदीने की चटनी",light
"भिंडी, गेहूं की रोटी, पुदीने की चटनी",light
"मसूर की दाल, गेहूं की रोटी, पुदीने की चटनी",light
"सहजन की फली, साठी चावल, पुदीने की चटनी",light
"अरहर की दाल, परमल चावल, पुदीने की चटनी",light
"पालक - चौलाई साग, गेहूं की रोटी, पुदीने की चटनी",light
"उबले हुए मंगोड़े, पुदीने की चटनी",light
"नारियल की सब्जी और रोटी, पुदीने की चटनी",heavy
सूरन की सब्ज़ी और रोटी,heavy
रोटी और आम अदा दिया भाजा मूँग दाल,light
रोटी और दाल की कलेजी,light
चावल और मजीदा कढ़ी,light
इडली सांभर और नारियल की चटनी,light
छोले चावल,heavy
राजमा चावल,heavy
